Attr 4,Attr 4_Binned,Attr 5,Attr 5_Binned,Attr 6,Attr 6_Binned,Attr 7,Attr 7_Binned,Attr 8,Attr 8_Binned,Attr 9,Attr 9_Binned,Attr 10,Attr 10_Binned,Attr 11,Attr 11_Binned,Attr 12,Attr 12_Binned
-1.408395301,-2.9660261955,7.246530844,-2.206961959,9.63853598,-0.153626997,0.297901821,-2.0447290655000003,0.04799355,-0.865229896,0.068373935,-0.865229896,0.944100408,-0.865229896,0.59520325,-0.865229896,218.5300301,-1216.25749305
-1.004670838,-2.9660261955,7.198880865,-2.206961959,9.274544097,-0.153626997,-0.886493018,-2.0447290655000003,-0.427310766,-0.865229896,0.04799355,-0.865229896,0.563775162,-0.865229896,0.894628008,-0.865229896,597.2286454,-1216.25749305
-2.618999166,-2.9660261955,5.342282343,-2.206961959,0.375135749,-0.153626997,-0.098468712,-2.0447290655000003,-0.7796704190000001,-0.865229896,-0.427310766,-0.865229896,0.068373935,-0.865229896,0.944100408,-0.865229896,377.771683,-1216.25749305
-2.035726812,-2.9660261955,6.356186318,-2.206961959,0.6198230379999999,-0.153626997,-1.160188866,-2.0447290655000003,-0.80639621,-0.865229896,-0.7796704190000001,-0.865229896,0.04799355,-0.865229896,0.563775162,-0.865229896,262.4089917,-1216.25749305
-1.149173223,-2.9660261955,7.428148285,-2.206961959,9.011427156,-0.153626997,1.31815055,-2.0447290655000003,-0.501087292,-0.865229896,-0.80639621,-0.865229896,-0.427310766,-0.865229896,0.068373935,-0.865229896,-148.91191709999995,-1216.25749305
1.353257326,-2.9660261955,4.196749429,-2.206961959,1.784057209,-0.153626997,0.8840687779999999,-2.0447290655000003,0.032487103,-0.865229896,-0.501087292,-0.865229896,-0.7796704190000001,-0.865229896,0.04799355,-0.865229896,258.3720545,-1216.25749305
-0.725382237,-2.9660261955,7.648483612000001,-2.206961959,8.929193856,-0.153626997,-0.040586593,-2.0447290655000003,0.568347843,-0.865229896,0.032487103,-0.865229896,-0.80639621,-0.865229896,-0.427310766,-0.865229896,-410.3864847,-1216.25749305
-0.8679222959999999,-2.9660261955,8.059179607999999,-2.206961959,8.847776974,-0.153626997,0.299592814,-2.0447290655000003,0.860887304,-0.865229896,0.568347843,-0.865229896,-0.501087292,-0.865229896,-0.7796704190000001,-0.865229896,-57.48916761,-1216.25749305
0.986648926,-2.9660261955,-1.562254223,-2.206961959,2.957233424,-0.153626997,0.647575835,-2.0447290655000003,0.89546482,-0.865229896,0.860887304,-0.865229896,0.032487103,-0.865229896,-0.80639621,-0.865229896,295.6485148,-1216.25749305
-0.842755556,-2.9660261955,8.038127626,-2.206961959,9.024365021,-0.153626997,1.099154572,-2.0447290655000003,0.581759336,-0.865229896,0.89546482,-0.865229896,0.568347843,-0.865229896,-0.501087292,-0.865229896,40.78772695,-1216.25749305
1.471004661,-2.9660261955,-1.359544809,-2.206961959,3.092100725,-0.153626997,0.08352376,-2.0447290655000003,0.104021224,-0.865229896,0.581759336,-0.865229896,0.860887304,-0.865229896,0.032487103,-0.865229896,49.84783424,-1216.25749305
1.232322689,-2.9660261955,3.65700491,-2.206961959,2.045537072,-0.153626997,-0.988884585,-2.0447290655000003,-0.472505599,-0.865229896,0.104021224,-0.865229896,0.89546482,-0.865229896,0.568347843,-0.865229896,826.0330393999999,-1216.25749305
0.721295268,-2.9660261955,4.144878602,-2.206961959,2.00211529,-0.153626997,-0.967718721,-2.0447290655000003,-0.773372724,-0.865229896,-0.472505599,-0.865229896,0.581759336,-0.865229896,0.860887304,-0.865229896,842.2175557,-1216.25749305
